"Type","Unique.sample.ID.or.Species.Name","Image.file","which.object.number.speciman.number..MCZ....","which.slide.in.the.powerpoint","Age","Z1","A1","A2","B1","B2","B3","C1","C2","C3","D1","E1","E2","E3","E4","F1","G1","G2","G3","H1","I1","I2","I3","J1","J2","K1","K2","L1","L2","L3","L4","M1","M2","M3","M4","N1","N2","N3","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10","Notes","X","Z1.1","A1.1","A2.1","B1.1","B2.1","B3.1","C1.1","C2.1","C3.1","D1.1","E1.1","E2.1","E3.1","E4.1","F1.1","G1.1","G2.1","G3.1","H1.1","I1.1","I2.1","I3.1","J1.1","J2.1","K1.1","K2.1","L1.1","L2.1","L3.1","L4.1","M1.1","M2.1","M3.1","M4.1","N1.1","N2.1","N3.1","O1.1","O2.1","O3.1","O4.1","O5.1","O6.1","O7.1","O8.1","O9.1","O10.1","MDS1","MDS2","MDS3"
"Bilateral Single Ridged","DSDP-596-P028-M14-2H-5W-86-88cm-g106_Hwell_N1of1","DSDP-596-P028-M14-2H-5W-86-88cm-g106_Hwell_N1of1_obj00008","8",69,26.935,"Z1.2.Denticle","A1.4 Spade","A2.6 Irregular","B1.4 Denticle lacks directionality/Cannot discern anterior","B2.2 Scalloped margin texture","B3.1 Smooth","C1.4 Denticle lacks directionality/Cannot discern posterior","C2.4 Posterior is a vertex","C3.1 Smooth","D1.1 None","E1.1 None","E2.0 No cusps or too broken to code","E3.0 No cusps/one cusp or too broken to code","E4.0 No cusps or too broken to code","F1.4 Meandering ridges (ridges curve or intersect in more than 1 way/direction)","G1.2 one","G2.2 one","G3.1 no ridge outgrowths","H1.0 Only one Ridge/No Ridges or too broken to code","I1.2 Only one Ridge","I2.3 Meandering","I3.1 Parallel","J1.0 None/only one ridge or too broken to code","J2.0 None or too broken to code","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.2 Ridge length=lateral length","L2.1 Not Clearly Defined","L3.1 Only one ridge","L4.1 Ridge profiles or trough are rounded","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,4,6,4,2,1,4,4,1,1,1,0,0,0,4,2,2,1,0,2,3,1,0,0,1,0,2,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.375025168034561,-0.0524419032264931,-0.591392491649639
"Bilateral Single Ridged Arrowhead","ODP-886-135-7H-6W-80-83cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5","ODP-886-135-7H-6W-80-83cm-g106_obj00015_edf","15",137,33.0102,"Z1.2.Denticle","A1.9 Triangular or Arrow-like","A2.0 Not a Spade/too broken to code","B1.1 Straight (edge)","B2.1 Smooth","B3.1 Smooth","C1.3 Pointed","C2.1 Smooth","C3.1 Smooth","D1.2 one","E1.1 None","E2.0 No cusps or too broken to code","E3.0 No cusps/one cusp or too broken to code","E4.0 No cusps or too broken to code","F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)","G1.2 one","G2.2 one","G3.1 no ridge outgrowths","H1.0 Only one Ridge/No Ridges or too broken to code","I1.2 Only one Ridge","I2.1 Straight","I3.1 Parallel","J1.0 None/only one ridge or too broken to code","J2.0 None or too broken to code","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.2 Ridge length=lateral length","L2.3 Clearly Defined","L3.1 Only one ridge","L4.5 Ridge profiles or troughs are rectangular","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,9,0,1,1,1,3,1,1,2,1,0,0,0,2,2,2,1,0,2,1,1,0,0,1,0,2,3,1,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.387597464164051,0.340629788769666,-0.133223950966548
"Bottom Bulbed Three Ridged Petal","Scyliorhinus_retifer","Castro","Pg. 342",84,0,"Z1.2.Denticle","A1.4 Spade","A2.3 Pointed Spade","B1.2 Rounded","B2.2 Scalloped margin texture","B3.1 Smooth","C1.3 Pointed","C2.4 Posterior is a vertex","C3.1 Smooth","D1.2 one","E1.2 one","E2.2 Cusps defined by ridges","E3.0 No cusps/one cusp or too broken to code","E4.2 ¼ <x<½","F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)","G1.6 five","G2.6 five","G3.1 no ridge outgrowths","H1.2 Converges from anterior","I1.4 Distinct shape/size from other ridges","I2.1 Straight","I3.1 Parallel","J1.1 Straight","J2.1 Parallel","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.2 Ridge length=lateral length","L2.3 Clearly Defined","L3.3 Variable ridge height","L4.2 Ridge profiles or troughs are triangular","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,4,3,2,2,1,3,4,1,2,2,2,0,2,2,6,6,1,2,4,1,1,1,1,1,0,2,3,3,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.498934691840957,-0.0985881333772215,0.0559031348375405
"Branching and Flared Chunk","DSDP-596-P020-L39-2H-4W-31-33cm-g106_Hwell_N1of1","DSDP-596-P020-L39-2H-4W-31-33cm-g106_Hwell_N1of1_obj00060","60",18,19.593333,"Z1.2.Denticle","A1.5 Diamond/Rectangle/(Can be asymmetrical/kite-like)","A2.0 Not a Spade/too broken to code","B1.4 Denticle lacks directionality/Cannot discern anterior","B2.1 Smooth","B3.1 Smooth","C1.4 Denticle lacks directionality/Cannot discern posterior","C2.1 Smooth","C3.1 Smooth","D1.1 None","E1.1 None","E2.0 No cusps or too broken to code","E3.0 No cusps/one cusp or too broken to code","E4.0 No cusps or too broken to code","F1.4 Meandering ridges (ridges curve or intersect in more than 1 way/direction)","G1.2 one","G2.2 one","G3.1 no ridge outgrowths","H1.5 Ridges intesect/branch","I1.1 No central ridge","I2.0 None or too broken to code","I3.0 None or too broken to code","J1.4 Meandering","J2.1 Parallel","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.5 Includes ridges described by a combination of 1,2, 3,","L2.1 Not Clearly Defined","L3.1 Only one ridge","L4.4 Ridge profiles or troughs are variable or described by another shape","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,5,0,4,1,1,4,1,1,1,1,0,0,0,4,2,2,1,5,1,0,0,4,1,1,0,5,1,1,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.700099652260504,0.0516187974847997,-0.429937058296275
"Branching Dust Pan","DSDP-596-P021-L42-2H-4W-105-107cm-g106_Hwell_N1of1","DSDP-596-P021-L42-2H-4W-105-107cm-g106_Hwell_N1of1_obj00082","82",32,21.587059,"Z1.2.Denticle","A1.8 “Fan-like”","A2.0 Not a Spade/too broken to code","B1.4 Denticle lacks directionality/Cannot discern anterior","B2.2 Scalloped margin texture","B3.1 Smooth","C1.4 Denticle lacks directionality/Cannot discern posterior","C2.0 Too broken to code","C3.0 Too broken to code","D1.1 None","E1.1 None","E2.0 No cusps or too broken to code","E3.0 No cusps/one cusp or too broken to code","E4.0 No cusps or too broken to code","F1.4 Meandering ridges (ridges curve or intersect in more than 1 way/direction)","G1.7 six-ten","G2.3 two","G3.1 no ridge outgrowths","H1.5 Ridges intesect/branch","I1.1 No central ridge","I2.0 None or too broken to code","I3.0 None or too broken to code","J1.4 Meandering","J2.1 Parallel","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.5 Includes ridges described by a combination of 1,2, 3,","L2.1 Not Clearly Defined","L3.3 Variable ridge height","L4.2 Ridge profiles or troughs are triangular","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,8,0,4,2,1,4,0,0,1,1,0,0,0,4,7,3,1,5,1,0,0,4,1,1,0,5,1,3,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.552653123206183,-0.599650043334159,-0.0335373743575107
"Branching Fan","ODP-886-090-7H-4W-135-138cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5","ODP-886-090-7H-4W-135-138cm-g106_obj00026_edf","26",69,26.4542,"Z1.2.Denticle","A1.8 “Fan-like”","A2.0 Not a Spade/too broken to code","B1.2 Rounded","B2.1 Smooth","B3.1 Smooth","C1.2 Rounded","C2.2 Scalloped margin texture","C3.1 Smooth","D1.1 None","E1.1 None","E2.0 No cusps or too broken to code","E3.0 No cusps/one cusp or too broken to code","E4.0 No cusps or too broken to code","F1.6 Branching (can tell directionality but ridges curve or intersect in more than 1 way)","G1.7 six-ten","G2.4 three","G3.1 no ridge outgrowths","H1.5 Ridges intesect/branch","I1.1 No central ridge","I2.0 None or too broken to code","I3.0 None or too broken to code","J1.1 Straight","J2.1 Parallel","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.5 Includes ridges described by a combination of 1,2, 3,","L2.3 Clearly Defined","L3.2 equal ridge heights","L4.5 Ridge profiles or troughs are rectangular","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,8,0,2,1,1,2,2,1,1,1,0,0,0,6,7,4,1,5,1,0,0,1,1,1,0,5,3,2,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.174521022746153,-0.447284520801533,0.291899190161807
"Branching Fragment","DSDP-596-P022-L44-2H-5W-4-6cm-g106_Hwell_N1of1","DSDP-596-P022-L44-2H-5W-4-6cm-g106_Hwell_N1of1_obj00019","19",49,22.956176,"Z1.2.Denticle","A1.0 Too broken to code","A2.0 Not a Spade/too broken to code","B1.0 Too broken to code","B2.0 Too broken to code","B3.0 Too broken to code","C1.0 Too broken to code","C2.0 Too broken to code","C3.0 Too broken to code","D1.0 Too broken to code","E1.0 Too broken to code","E2.0 No cusps or too broken to code","E3.0 No cusps/one cusp or too broken to code","E4.0 No cusps or too broken to code","F1.3 Geometric (Central branching pattern)","G1.0 Too broken to code","G2.0 Too broken to code","G3.0 no ridges or too broken to code","H1.5 Ridges intesect/branch","I1.0 No ridges or too broken to code","I2.0 None or too broken to code","I3.0 None or too broken to code","J1.1 Straight","J2.1 Parallel","K1.0 No Ridges or too broken to code","K2.0 No central shape or too broken to code","L1.0 Too broken to code","L2.3 Clearly Defined","L3.0 None or too broken to code","L4.5 Ridge profiles or troughs are rectangular","M1.0 Too broken to code","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.0 Too broken to code","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,1,1,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.745428012193895,-0.348607235865537,0.210856735704388
"Branching Triangle","Somniosus_rostratus","Castro","Pg. 135",36,0,"Z1.2.Denticle","A1.9 Triangular or Arrow-like","A2.0 Not a Spade/too broken to code","B1.3 Pointed (vertex)","B2.2 Scalloped margin texture","B3.1 Smooth","C1.3 Pointed","C2.1 Smooth","C3.1 Smooth","D1.1 None","E1.1 None","E2.0 No cusps or too broken to code","E3.0 No cusps/one cusp or too broken to code","E4.0 No cusps or too broken to code","F1.6 Branching (can tell directionality but ridges curve or intersect in more than 1 way)","G1.7 six-ten","G2.4 three","G3.1 no ridge outgrowths","H1.5 Ridges intesect/branch","I1.4 Distinct shape/size from other ridges","I2.1 Straight","I3.1 Parallel","J1.1 Straight","J2.1 Parallel","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.3 Ridge ends mid crown/ Ridge begins mid crown","L2.2 Clearly defined on part of the crown but gets shallower and does not extend to full length of denticle","L3.3 Variable ridge height","L4.2 Ridge profiles or troughs are triangular","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.2 Mounded",NA,NA,2,9,0,3,2,1,3,1,1,1,1,0,0,0,6,7,4,1,5,4,1,1,1,1,1,0,3,2,3,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,-0.0273174757739342,-0.273257024222257,0.405987646221641
"Bunny Ears","DSDP-596-P033-L49-2H-5W-129-131cm-g106_Hwell_N1of1","DSDP-596-P033-L49-2H-5W-129-131cm-g106_Hwell_N1of1_obj00005","5",81,29.14,"Z1.2.Denticle","A1.0 Too broken to code","A2.0 Not a Spade/too broken to code","B1.4 Denticle lacks directionality/Cannot discern anterior","B2.2 Scalloped margin texture","B3.1 Smooth","C1.4 Denticle lacks directionality/Cannot discern posterior","C2.2 Scalloped margin texture","C3.1 Smooth","D1.2 one","E1.1 None","E2.0 No cusps or too broken to code","E3.0 No cusps/one cusp or too broken to code","E4.0 No cusps or too broken to code","F1.3 Geometric (Central branching pattern)","G1.4 three","G2.2 one","G3.1 no ridge outgrowths","H1.7 Irregular/no discernable anterior/posterior","I1.4 Distinct shape/size from other ridges","I2.1 Straight","I3.1 Parallel","J1.1 Straight","J2.1 Parallel","K1.10 Multiple","K2.2 one","L1.2 Ridge length=lateral length","L2.3 Clearly Defined","L3.2 equal ridge heights","L4.5 Ridge profiles or troughs are rectangular","M1.3 two","M2.3 Dimples (depressions surrounded by ridges)","M3.2 Close to edge depression","M4.2 Elongated","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,0,0,4,2,1,4,2,1,2,1,0,0,0,3,4,2,1,7,4,1,1,1,1,10,2,2,3,2,5,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.395548622596473,-0.0687211230837983,0.087137267461303
"Caldera Diamond","Etmopterus pusillus","Feichtinger, I., Adnet, S., Cuny, G., Guinot, G., Kriwet, J., Neubauer, T. A., ... & Harzhauser, M. (2021)","J2",685,0,"Z1.2.Denticle","A1.5 Diamond/Rectangle/(Can be asymmetrical/kite-like)","A2.0 Not a Spade/too broken to code","B1.3 Pointed (vertex)","B2.4 anterior is a vertex","B3.1 Smooth","C1.3 Pointed","C2.4 Posterior is a vertex","C3.1 Smooth","D1.2 one","E1.1 None","E2.0 No cusps or too broken to code","E3.0 No cusps/one cusp or too broken to code","E4.0 No cusps or too broken to code","F1.1 Smooth","G1.1 None","G2.1 None","G3.1 no ridge outgrowths","H1.0 Only one Ridge/No Ridges or too broken to code","I1.0 No ridges or too broken to code","I2.0 None or too broken to code","I3.0 None or too broken to code","J1.0 None/only one ridge or too broken to code","J2.0 None or too broken to code","K1.0 No Ridges or too broken to code","K2.0 No central shape or too broken to code","L1.1 No ridges","L2.0 No Ridges or too broken to code","L3.0 None or too broken to code","L4.0 No ridges or too broken to code","M1.2 one","M2.1 Thumbprint (surface layer)","M3.1 Central depression","M4.0 none or too broken to code","N1.1 No Ridges","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.1 Not mounded",NA,NA,2,5,0,3,4,1,3,4,1,2,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.360085939083212,1.08347022606599,0.309896845735017
"Central Ridged Diamond","Squatina argentina","Vaz, D. F., & De Carvalho, M. R. (2013)","F",578,0,"Z1.2.Denticle","A1.5 Diamond/Rectangle/(Can be asymmetrical/kite-like)","A2.0 Not a Spade/too broken to code","B1.2 Rounded","B2.1 Smooth","B3.1 Smooth","C1.3 Pointed","C2.1 Smooth","C3.1 Smooth","D1.2 one","E1.1 None","E2.0 No cusps or too broken to code","E3.0 No cusps/one cusp or too broken to code","E4.0 No cusps or too broken to code","F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)","G1.2 one","G2.2 one","G3.1 no ridge outgrowths","H1.0 Only one Ridge/No Ridges or too broken to code","I1.2 Only one Ridge","I2.1 Straight","I3.1 Parallel","J1.0 None/only one ridge or too broken to code","J2.0 None or too broken to code","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.2 Ridge length=lateral length","L2.3 Clearly Defined","L3.1 Only one ridge","L4.2 Ridge profiles or troughs are triangular","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.2 Mounded",NA,NA,2,5,0,2,1,1,3,1,1,2,1,0,0,0,2,2,2,1,0,2,1,1,0,0,1,0,2,3,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,-0.292254517613221,0.361377565487727,-0.0601565049052795
"Central Ridged Extended Trident","Galeus_springeri","Castro","Pg. 326",76,0,"Z1.2.Denticle","A1.4 Spade","A2.3 Pointed Spade","B1.2 Rounded","B2.2 Scalloped margin texture","B3.1 Smooth","C1.3 Pointed","C2.3 Pointed margin texture","C3.1 Smooth","D1.2 one","E1.4 three","E2.2 Cusps defined by ridges","E3.2 Central cusp is distinct","E4.2 ¼ <x<½","F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)","G1.4 three","G2.4 three","G3.1 no ridge outgrowths","H1.1 Parallel","I1.4 Distinct shape/size from other ridges","I2.1 Straight","I3.1 Parallel","J1.2 Concave Curved","J2.1 Parallel","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.2 Ridge length=lateral length","L2.3 Clearly Defined","L3.3 Variable ridge height","L4.1 Ridge profiles or trough are rounded","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.4 Honeycomb surface texture","N2.2 Crown and ridges","N3.3 Greater than 70%","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,4,3,2,2,1,3,3,1,2,4,2,2,2,2,4,4,1,1,4,1,1,2,1,1,0,2,3,3,1,1,0,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0,-0.679561706855269,-0.0622820192747305,-0.0300474079813089
"Central Ridged Petal","Pseudotriakis_microdon","Castro","Pg. 353",88,0,"Z1.2.Denticle","A1.9 Triangular or Arrow-like","A2.0 Not a Spade/too broken to code","B1.2 Rounded","B2.4 anterior is a vertex","B3.1 Smooth","C1.3 Pointed","C2.4 Posterior is a vertex","C3.1 Smooth","D1.2 one","E1.1 None","E2.0 No cusps or too broken to code","E3.0 No cusps/one cusp or too broken to code","E4.0 No cusps or too broken to code","F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)","G1.2 one","G2.2 one","G3.1 no ridge outgrowths","H1.0 Only one Ridge/No Ridges or too broken to code","I1.2 Only one Ridge","I2.1 Straight","I3.3 Triangular thinning from anterior","J1.0 None/only one ridge or too broken to code","J2.0 None or too broken to code","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.2 Ridge length=lateral length","L2.3 Clearly Defined","L3.1 Only one ridge","L4.3 Ridge profiles or troughs are funnel shapes (rounded with a skinnier point)","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,9,0,2,4,1,3,4,1,2,1,0,0,0,2,2,2,1,0,2,1,3,0,0,1,0,2,3,1,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.395012569002721,0.251434991392502,-0.0407256031544617
"Central Ridged Textured Circle","Galeus melastomus","Reif","Pg. 155  H1",300,0,"Z1.2.Denticle","A1.3 Circular or oval","A2.0 Not a Spade/too broken to code","B1.0 Too broken to code","B2.0 Too broken to code","B3.0 Too broken to code","C1.2 Rounded","C2.1 Smooth","C3.1 Smooth","D1.2 one","E1.1 None","E2.0 No cusps or too broken to code","E3.0 No cusps/one cusp or too broken to code","E4.0 No cusps or too broken to code","F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)","G1.5 four","G2.2 one","G3.1 no ridge outgrowths","H1.2 Converges from anterior","I1.2 Only one Ridge","I2.1 Straight","I3.5 Creates a Central Trough","J1.0 None/only one ridge or too broken to code","J2.0 None or too broken to code","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.3 Ridge ends mid crown/ Ridge begins mid crown","L2.3 Clearly Defined","L3.2 equal ridge heights","L4.2 Ridge profiles or troughs are triangular","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.4 Honeycomb surface texture","N2.4 Anterior of crown only","N3.2 Between 30% and 70%","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,3,0,0,0,0,2,1,1,2,1,0,0,0,2,5,2,1,2,2,1,5,0,0,1,0,3,3,2,2,1,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,-0.384862130241426,0.392321207369932,0.394225633618385
